,city,temp,lat
207,rabo de peixe,71.6,37.8
208,tsiroanomandidy,51.35,-18.77
209,sovetskiy,44.87,56.76
210,benguela,68.63,-12.58
211,tura,77.72,25.52
212,srandakan,81.32,-7.94
213,lahaina,85.71,20.87
214,bonavista,41.99,48.65
215,quang ngai,84.83,15.12
216,port hedland,95.0,-20.31
217,zemio,66.11,5.02
218,longyearbyen,28.4,78.22
219,bolivar,73.04,37.61
220,dudinka,32.72,69.41
221,yellowknife,46.4,62.45
222,sillanwali,80.42,31.83
223,durban,52.97,43.54
224,ilulissat,28.4,69.22
225,kachiry,54.5,53.07
226,baykit,41.99,61.68
227,prince rupert,55.4,54.32
228,vanimo,83.21,-2.67
229,tateyama,69.8,36.66
230,martapura,77.0,-3.41
231,beisfjord,41.0,68.38
232,warkworth,57.2,-36.4
233,bluff,82.85,-23.58
234,beringovskiy,48.47,63.05
235,bella vista,68.45,-28.51
236,khatanga,33.89,71.98
237,marsa matruh,75.2,31.35
238,dikson,40.1,73.51
239,tagusao,79.7,9.19
240,laem sing,84.2,12.48
241,dryden,42.8,49.79
242,ulladulla,51.8,-35.36
243,erzin,73.38,36.95
244,barranca,60.44,-10.75
245,nang rong,82.4,14.64
246,ambon,50.0,47.55
247,tortoli,62.24,39.93
248,carutapera,79.61,-1.2
249,venado tuerto,66.65,-33.75
250,codrington,59.81,-28.95
251,roebourne,99.32,-20.77
252,paramonga,60.44,-10.68
253,bereda,57.2,43.27
254,havelock,76.75,34.88
255,borogontsy,51.44,62.67
256,nelson bay,64.4,-32.72
257,russell,66.2,-33.01
258,awbari,68.63,26.59
259,mantua,57.2,45.16
260,dingle,85.37,11.0
261,cayenne,75.2,4.94
262,nyrob,51.8,60.74
263,okhotsk,50.27,59.36
264,ust-kuyga,30.47,70.0
265,galle,83.57,29.74
266,xingyi,71.33,24.19
267,omboue,76.82,-1.57
268,saint anthony,57.31,43.97
269,gazojak,55.58,41.19
270,ayagoz,48.47,47.96
271,aasiaat,34.52,68.71
272,sabang,85.64,13.72
273,basco,63.16,40.33
274,raymond,62.74,43.04
275,tobane,66.92,-21.91
276,gizo,73.4,31.8
277,ust-ishim,52.88,57.69
278,alvaraes,76.73,-3.22
279,aklavik,30.2,68.22
280,nizhnevartovsk,48.2,60.93
281,coihaique,37.2,-45.58
282,kavieng,86.72,-2.57
283,la paz,87.8,24.15
284,acapulco,80.6,16.86
285,vaux-sur-sure,44.6,49.91
286,turgenevo,43.07,54.84
287,tautira,80.6,-17.73
288,podporozhye,37.13,60.91
289,devils lake,47.52,48.11
290,mishelevka,48.29,52.86
291,namatanai,86.0,-3.66
292,katobu,85.82,-4.94
293,ancud,37.94,-41.87
294,sciacca,71.6,37.51
295,bambous virieux,71.6,-20.34
296,bossangoa,69.44,6.5
297,monrovia,77.0,6.33
298,batticaloa,78.8,7.71
299,maryville,56.77,40.35
300,mayo,55.4,63.59
301,lamu,85.82,0.57
302,swellendam,57.2,-34.02
303,westerland,51.06,52.89
304,abha,63.46,18.22
305,arraial do cabo,72.59,-22.97
306,vernon,62.6,50.27
307,severo-yeniseyskiy,40.73,60.37
308,fomboni,78.71,-12.28
309,leningradskiy,40.73,69.38
310,los llanos de aridane,73.4,28.66
311,tilichiki,44.24,60.47
312,saint-louis,41.54,47.59
313,nouadhibou,76.46,20.93
314,cidreira,66.02,-30.17
315,utete,67.73,-7.99
316,orange cove,91.47,36.62
317,puntarenas,69.8,9.98
318,bara,72.59,10.41
319,vao,44.96,59.1
320,high level,62.6,58.52
321,marawi,72.05,8.0
322,wamba,63.05,2.14
323,constitucion,73.4,23.99
324,republic,73.04,48.65
325,bonthe,76.82,7.53
326,pedernales,73.13,0.07
327,mahanoro,63.95,-19.9
328,ariogala,37.4,55.26
329,paciran,91.4,-6.9
330,opuwo,52.34,-18.06
331,fort nelson,64.4,58.81
332,la ronge,39.2,55.1
333,lhokseumawe,82.13,5.18
334,port pirie,73.4,-33.18
335,richards bay,69.98,-28.77
336,iquique,62.6,-20.22
337,gastello,53.06,49.1
338,treinta y tres,58.73,-33.23
339,mogadishu,78.71,2.04
340,belaya gora,37.4,68.54
341,katima mulilo,68.0,-17.5
342,gravdal,53.6,59.79
343,lelystad,45.82,52.52
344,nome,79.38,30.04
345,latung,84.83,-8.45
346,griffith,69.26,-34.29
347,bethel,51.98,60.79
348,arcachon,46.4,44.65
349,dalbandin,68.72,28.9
350,praia,69.8,-20.25
351,yerbogachen,45.31,61.28
352,waitara,54.32,-39.0
353,yashkul,56.66,46.17
354,grand gaube,71.6,-20.01
355,kaspiysk,69.8,42.88
356,pimenta bueno,76.37,-11.68
357,cordoba,49.19,5.59
358,soe,41.0,57.91
359,comodoro rivadavia,42.8,-45.87
360,mulege,79.88,26.88
361,carmen,77.62,7.2
362,newport,50.0,51.59
363,alofi,82.4,-19.06
364,camacupa,59.99,-12.02
365,balingasay,83.48,16.36
366,ruidoso,73.45,33.33
367,hamilton,69.8,43.26
368,camacha,71.6,33.08
369,mokhsogollokh,52.61,61.4
370,cabo san lucas,84.34,22.89
371,karakol,42.8,42.49
372,luena,62.87,-11.78
373,raahe,48.2,64.68
374,jaipur,75.2,26.92
375,temozon,79.7,20.8
376,mareeba,80.6,-16.99
377,verkhnyaya inta,48.74,65.99
378,saint-leu,69.87,-21.15
379,laguna,89.6,27.52
380,evensk,43.88,61.92
381,belmonte,56.39,40.36
382,mandalgovi,60.08,45.76
383,bandarbeyla,77.0,9.49
384,new pitsligo,60.93,57.59
385,machilipatnam,78.8,16.18
386,saint-augustin,46.4,44.83
387,teknaf,80.6,20.86
388,dubti,65.75,11.74
389,ahipara,57.56,-35.17
390,bjornevatn,37.4,69.67
391,wageningen,41.47,51.98
392,pandan,83.93,11.72
393,buenavista,72.88,4.36
394,kysyl-syr,47.93,63.9
395,ouango,68.9,4.31
396,tezu,65.21,27.93
397,amberley,51.8,-43.15
398,rundu,77.27,-17.91
399,takoradi,77.0,4.89
400,loksa,42.8,59.58
401,souillac,52.61,45.6
402,lokachi,36.32,50.74
403,wajid,69.98,3.81
404,puerto colombia,82.4,10.99
405,college,51.76,64.86
406,fuzhou,75.2,26.08
407,itarantim,67.37,-15.65
408,favara,66.92,37.32
409,laramie,51.78,41.31
410,harper,82.04,30.3
411,sfantu gheorghe,42.8,44.65
412,ambilobe,71.15,-13.19
413,nador,75.15,35.17
414,srednekolymsk,40.28,67.46
415,kieta,81.32,-6.22
416,carupano,79.25,10.67
417,kudahuvadhoo,80.6,2.67
418,sao filipe,78.26,14.9
419,moroni,44.24,39.52
420,nanortalik,36.77,60.14
421,mattawa,60.8,46.32
422,vari,65.34,37.83
423,katesh,58.1,-4.52
424,burnie,51.71,-41.05
425,luorong,74.21,24.41
426,kungurtug,32.09,50.6
427,bria,66.38,6.54
428,psebay,48.47,44.12
429,kutum,69.8,14.2
430,port hardy,57.2,50.7
431,skibbereen,53.6,51.55
432,anadyr,50.0,64.73
433,igra,52.97,57.55
434,ulaanbaatar,50.0,47.92
435,ojinaga,71.51,29.56
436,canon city,45.05,39.46
437,norman wells,33.8,65.28
438,havoysund,42.8,71.0
439,iskateley,44.59,67.68
440,ternate,84.2,14.29
441,tumarbong,81.95,10.38
442,hambantota,81.95,6.12
443,valer,45.23,41.76
444,vaitape,78.35,-16.52
445,rio branco,80.6,-9.98
446,esso,37.49,55.93
447,hokitika,54.32,-42.72
448,grand-santi,74.93,4.27
449,teguise,73.4,29.06
450,khasan,64.94,42.43
451,sorong,83.21,-0.86
452,itarare,66.11,-24.11
453,huadian,60.98,42.97
454,bafata,75.92,12.17
455,marrakesh,77.0,31.63
456,la libertad,57.2,-16.38
457,sainte-marie,50.9,46.45
458,sobolevo,34.07,54.43
459,pilar,66.81,-34.46
460,estelle,81.9,32.87
461,strezhevoy,48.2,60.73
462,vestmanna,46.4,62.16
463,alta floresta,74.93,-9.87
464,matara,40.82,-13.74
465,vavozh,50.45,56.77
466,karratha,99.32,-20.74
467,ashtabula,71.55,41.87
468,aksu,42.8,52.04
469,hobyo,75.47,5.35
470,passo fundo,63.59,-28.26
471,pitimbu,73.4,-7.47
472,ulaangom,41.0,49.98
473,kulhudhuffushi,80.87,6.62
474,muros,59.0,42.77
475,meulaboh,82.4,4.14
476,puerto del rosario,73.4,28.5
477,banda aceh,81.95,5.56
478,brest,35.24,52.09
479,port hawkesbury,44.6,45.62
480,batagay-alyta,31.82,67.8
481,lewistown,67.66,40.39
482,frontera,78.8,18.53
483,villamontes,70.79,-21.26
484,isilkul,51.62,54.9
485,falam,74.12,22.91
486,kaeo,59.27,-35.1
487,duldurga,59.9,50.67
488,cabedelo,73.4,-6.97
489,inuvik,30.2,68.36
490,loandjili,74.75,-4.77
491,dungarpur,73.58,23.85
492,quatis,57.74,-22.41
493,waingapu,88.79,-9.65
494,mutuipe,68.54,-13.23
495,buchanan,77.0,5.88
496,necochea,57.29,-38.55
497,kyren,37.85,51.68
498,escondido,68.72,33.12
499,sumter,72.93,33.92
500,praya,84.2,-8.71
501,kruisfontein,57.92,-34.0
502,baghdad,75.2,33.3
503,murdochville,52.88,48.96
504,berezovyy,56.21,51.67
505,tessalit,76.28,20.2
506,pingliang,52.61,35.54
507,mecca,67.37,21.43
508,fare,77.9,-16.7
509,takayama,64.26,36.14
510,hanting,76.55,30.92
511,gemena,69.17,3.25
512,itororo,64.22,-15.12
513,obo,62.96,5.39
514,tual,81.5,-5.67
515,matamoros,83.79,25.87
516,fairbanks,51.76,64.84
517,tubbergen,43.92,52.41
518,spas-demensk,36.05,54.41
519,caxito,70.07,-22.65
520,bukama,68.9,-9.2
521,pathein,85.37,16.78
522,belyy yar,50.0,53.6
523,superior,56.91,39.95
524,morant bay,84.2,17.88
525,santa rosa,58.82,-36.62
526,boa vista,84.2,2.82
527,faanui,78.62,-16.48
528,saint-francois,41.0,46.42
529,rovaniemi,33.8,66.5
530,santa lucia,62.24,39.93
531,emilio carranza,74.21,19.97
532,araxa,65.57,-19.59
533,miles city,51.98,46.41
534,darhan,65.03,49.49
535,koumac,72.5,-20.56
536,sangar,46.22,63.92
537,dicabisagan,85.91,17.08
538,kyshtovka,54.05,56.56
539,megion,48.2,61.04
540,rosignano marittimo,60.8,43.41
